Date;company;Date2;location;Date3;title
2014-08-16;宏達國際電子股份有限公司;2014-08-16;新北市 新店區;2014-08-16;(Studio Engineering) Site reliability engineer, large-scale services (系統應用工程師) - J00783
2014-07-28;和碩聯合科技股份有限公司;2014-07-28;台北市 北投區;2014-07-28;Hadoop軟體研發工程師_3215
2014-06-18;Asia Pacific/Japan-Taiwan-Taipei;2014-06-18;台北市;2014-06-18;Presale Cons
2014-06-18;港商 Satisfly Ltd;2014-06-18;台北市;2014-06-18;港商 Satisfly - 尋找 Platform Engineer
2014-06-18;中國上優科技股份有限公司;2014-06-18;台中市 西屯區;2014-06-18;系統工程師
2014-08-07;遠傳電信股份有限公司;2014-08-07;台北市 內湖區;2014-08-07;Big Data 技術副理
2014-04-29;PChome;2014-04-29;台北市 大安區;2014-04-29;JAVA研發工程師
2014-04-29;PChome;2014-04-29;台北市 大安區;2014-04-29;網管工程師
2014-04-29;PChome;2014-04-29;台北市 大安區;2014-04-29;(PHP)軟體工程師
2014-04-29;PChome;2014-04-29;台北市 大安區;2014-04-29;網頁管理工程師
2014-06-14;宏達國際電子股份有限公司;2014-06-14;新北市 新店區;2014-06-14;(Studio Engineering) Big data analysis/ Data mining Engineer (台北) - J00674
2014-07-07;遠傳電信股份有限公司;2014-07-07;台北市 內湖區;2014-07-07;Big Data 技術副理
2014-06-09;和碩聯合科技股份有限公司;2014-06-09;台北市 北投區;2014-06-09;Big Data軟體工程師_3157
2014-07-06;KKBOX;2014-07-06;台北市 南港區;2014-07-06;Engineer for Video Recommendation Framework
2016-05-13;台灣亞馬遜網路服務有限公司;2016-05-13;台北市 信義區;2016-05-13;Technical Account Manager - Amazon Web Services
2016-05-13;威盛電子股份有限公司;2016-05-13;新北市 新店區;2016-05-13;-Software Engineer (Cloud)
2014-09-04;台灣新蛋股份有限公司;2014-09-04;高雄市 前鎮區;2014-09-04;軟(韌)體設計工程師
2014-05-21;和碩聯合科技股份有限公司;2014-05-21;台北市 北投區;2014-05-21;Hadoop軟體研發工程師_3215
2014-06-26;台灣新蛋股份有限公司;2014-06-26;台中市 西屯區;2014-06-26;Java工程師(台中)
2014-06-26;財團法人金屬工業研究發展中心;2014-06-26;高雄市 楠梓區;2014-06-26;海量資料系統開發工程師
2014-06-26;台灣新蛋股份有限公司;2014-06-26;高雄市 前鎮區;2014-06-26;Hadoop 軟體工程師(高雄)
2014-06-01;華亞科技股份有限公司;2014-06-01;桃園縣 龜山鄉;2014-06-01;資訊開發資深工程師
2014-06-01;叡揚資訊股份有限公司;2014-06-01;台北市 中山區;2014-06-01;軟體工程師
2014-04-14;台灣新蛋股份有限公司;2014-04-14;台中市 西屯區;2014-04-14;Software Developer (Java)(台中)
2014-04-14;台灣新蛋股份有限公司;2014-04-14;台中市 西屯區;2014-04-14;Java工程師(台中)
2014-09-06;趨勢科技股份有限公司;2014-09-06;台北市;2014-09-06;【工讀】站前-假日防毒軟體銷售工讀生
2014-07-04;雅虎奇摩(Yahoo! Inc.);2014-07-04;台北市;2014-07-04;Software Engineer-New Grads, Search Engineering, Yahoo Taiwan
2014-06-12;國立台灣大學學生事務處--學生職業生涯發展中心;2014-06-12;花蓮縣 花蓮市;2014-06-12;華思科技甄選「雲端軟體工程師(Cloud Software Developer) 」
2014-06-12;Michael Page;2014-06-12;台北市;2014-06-12;Data Scientist
2014-06-12;宏達國際電子股份有限公司;2014-06-12;新北市 新店區;2014-06-12;(Studio Engineering) Sr./ Server Side Engineer (台北) - J00675
2014-06-12;關貿網路股份有限公司;2014-06-12;台北市 南港區;2014-06-12;(校園徵才)研發替代役人員_巨量資料(Big Data)分析平台
2014-06-12;國立台灣大學學生事務處--學生職業生涯發展中心;2014-06-12;花蓮縣 花蓮市;2014-06-12;華思科技甄選「大數據軟體工程師(Big Data Software Engineer) 」
2014-06-12;新加坡商立可人事顧問有限公司;2014-06-12;台北市 信義區;2014-06-12;知名外商遊戲研發公司徵Architect
2014-06-12;新加坡商立可人事顧問有限公司;2014-06-12;台北市 信義區;2014-06-12;遊戲公司徵MySQL DBA 年薪90萬到130萬
2014-06-12;國立交通大學資訊技術服務中心;2014-06-12;新竹市 東區;2014-06-12;長期工讀生公告
2014-06-12;趨勢科技;2014-06-12;台北市;2014-06-12;Sr. Engineer (Data Researcher)
2014-06-12;宏達國際電子股份有限公司;2014-06-12;新北市 新店區;2014-06-12;(Studio Engineering)Software Engineer in Test(新店)-J00706
2014-06-12;國立交通大學電子工程學系;2014-06-12;新竹市 東區;2014-06-12;Hadoop軟體 / 嵌入式系統暨周邊電路開發 研究員
2014-06-12;宏達國際電子股份有限公司;2014-06-12;新北市 新店區;2014-06-12;(RD S/W) Senior service backend engineer / Applications of cloud services (新店)-J00869
2014-04-03;北京英泰德商务咨询有限公司;2014-04-03;台灣;2014-04-03;知名数据仓库设备商 Experienced Hadoop Architect
2014-04-03;神通資訊科技股份有限公司;2014-04-03;台北市 內湖區;2014-04-03;商業智慧管理師
2014-04-03;中強光電股份有限公司;2014-04-03;苗栗縣 竹南鎮;2014-04-03;研發類-巨量資料技術研發工程師(IBS)
